
Rk,Tm,Lg,G,W,L,W-L%,Strk,SOS,SRS,Home,Road,last10
1,SFG,NL,56,35,21,.625,W 1,0.1,1.3,16-8,19-13,7-3
2,TBR,AL,58,36,22,.621,W 1,0.1,1.3,15-13,21-9,7-3
3,CHW,AL,56,34,22,.607,W 1,-0.4,1.1,21-9,13-13,7-3
4,SDP,NL,58,35,23,.603,W 1,0.0,1.4,19-10,16-13,5-5
5,BOS,AL,56,33,23,.589,W 1,-0.1,0.7,16-13,17-10,5-5
6,LAD,NL,56,33,23,.589,W 1,0.1,1.6,19-10,14-13,5-5
7,CHC,NL,56,32,24,.571,L 1,-0.4,0.2,21-10,11-14,8-2
8,OAK,AL,58,33,25,.569,W 2,0.1,0.1,17-17,16-8,5-5
9,CLE,AL,54,30,24,.556,W 2,-0.2,-0.3,14-12,16-12,6-4
10,HOU,AL,56,31,25,.554,L 1,0.1,1.1,20-13,11-12,5-5
11,NYM,NL,49,27,22,.551,L 1,-0.2,-0.1,15-5,12-17,6-4
12,STL,NL,57,31,26,.544,L 2,-0.2,-0.4,15-11,16-15,5-5
13,NYY,AL,57,31,26,.544,L 1,0.2,0.3,17-13,14-13,3-7
14,TOR,AL,54,29,25,.537,W 2,0.2,1.1,12-11,17-14,6-4
15,MIL,NL,56,30,26,.536,W 1,0.0,-0.2,14-15,16-11,7-3
16,KCR,AL,54,28,26,.518,W 4,-0.1,-0.3,15-13,13-13,7-3
17,SEA,AL,58,29,29,.500,W 1,0.2,-0.7,17-14,12-15,7-3
18,ATL,NL,54,26,28,.481,W 1,-0.1,-0.2,15-16,11-12,6-4
19,PHI,NL,55,26,29,.473,W 1,0.0,-0.3,15-10,11-19,4-6
20,CIN,NL,54,25,29,.463,W 1,-0.1,-0.6,12-14,13-15,5-5
21,LAA,AL,56,25,31,.446,L 1,0.4,-0.4,13-15,12-16,6-4
22,MIA,NL,55,24,31,.436,L 6,0.1,0.1,12-12,12-19,3-7
23,WSN,NL,53,23,30,.434,L 1,-0.2,-0.6,13-15,10-15,3-7
24,DET,AL,56,23,33,.411,L 1,-0.1,-1.1,13-15,10-18,5-5
25,COL,NL,57,23,34,.404,W 4,0.2,-0.4,19-12,4-22,5-5
26,MIN,AL,56,22,34,.393,L 3,-0.3,-0.8,12-17,10-17,5-5
27,PIT,NL,55,21,34,.382,W 1,0.0,-1.4,11-15,10-19,3-7
28,TEX,AL,58,22,36,.379,L 9,0.2,-0.5,13-13,9-23,1-9
29,ARI,NL,58,20,38,.345,L 2,0.1,-0.9,11-16,9-22,2-8
30,BAL,AL,56,19,37,.339,W 2,0.1,-1.0,8-19,11-18,2-8
