last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Springs, Jeffrey,L,,98.9,,98.7,,29.6,
Yarbrough, Ryan,L,,97.6,43.3,94.3,,,74.7
Rodriguez, Chris,R,,91.4,,97.2,,26.3,77.3
Rowen, Ben,R,,77.3,,,,81.2,
Scrubb, Andre,R,,,67.4,,,,88.4
Holland, Derek,L,,99,,93.9,,,17.4
Sadler, Casey,R,,84.1,29.2,,,,58.9
Garcia, Bryan,R,,96.1,,97.5,,29,
Matz, Steven,L,,99.6,,88.1,,36.8,82
Eshelman, Thomas,R,,81,,93.7,,40.6,61.2
Dolis, Rafael,R,,90.6,,,,37.4,
Anderson, Brett,L,,93.6,60.6,94.4,,42.7,70.2
Wood, Alex,L,,99.1,,94.8,,22.4,
Shaw, Bryan,R,,,46.3,77.2,,51.7,90.5
Valdez, Phillips,R,,96.7,,86.7,,48,
Luetge, Lucas,L,,,43.6,,,41.3,86.6
Romano, Sal,R,,83.6,,,,19.5,
Hicks, Jordan,R,,92.7,31,,,,
Milner, Hoby,L,,96.2,,,,,68
Greene, Shane,R,,90.5,41.6,,,49.2,
Fernández, Junior,R,,96.8,,91.1,,40.4,
Elledge, Seth,R,,96.9,,,,56.1,
De León, José,R,,98,,97.8,,60.7,
Davies, Zach,R,,98.7,79.1,98,,,65.5
King, John,L,,83.7,57.8,95.8,,37.8,
Antone, Tejay,R,,87,,,,53.2,85.2
Dunning, Dane,R,,80.6,32,98.8,,56.5,98.2
Fleming, Josh,L,,92.1,46.2,81.8,,,68.2
Arrieta, Jake,R,,85.2,,92,,41.5,78.2
Suero, Wander,R,,,60.7,65.8,,,73.1
Clay, Sam,L,,88.8,,82.4,,34.7,
Harris, Will,R,,,69.9,,,,89.1
Finnegan, Kyle,R,,98.4,,,,50.7,
Alexander, Scott,L,,79.4,,93.4,,30.6,
Uceta, Edwin,R,,96.5,,89.1,,,42.1
Hunter, Tommy,R,,77.4,53.3,,,,47.3
Castro, Miguel,R,,98.2,,93.9,,46,
Hoyt, James,R,,87.5,,,,14.1,
Chargois, JT,R,,93,,,,12.7,
Lucchesi, Joey,L,,87.6,85.1,,,,30.8
Santana, Dennis,R,,90.3,,88,,21.5,
Jansen, Kenley,R,,93.9,78,,,45.7,
Rogers, Taylor,L,,95.2,,,,42.7,
Loup, Aaron,L,,94.2,15.2,98.1,,,78.9
Romo, Sergio,R,,88.6,,99.3,,52.9,
Bummer, Aaron,L,,83.6,17.2,,,81.2,
Smith, Riley,R,,86.5,33.4,94.2,,28.4,72.4
Kolarek, Adam,L,,93.4,,97.2,,43,
Crichton, Stefan,R,,96.9,,94.9,,,76.5
de Geus, Brett,R,,83.7,23.7,,,,80.2
Manaea, Sean,L,,96.4,,94.1,,,25.7
Heuer, Codi,R,,98.2,,88.5,,31.7,
Holmes, Clay,R,,73.8,,,,21.1,73.2
Bass, Anthony,R,,93.3,,,,39,
Emanuel, Kent,L,,89.8,,86,,50,
Borucki, Ryan,L,,95.5,,,,20.9,
Peacock, Matt,R,,93.9,,97.4,,11.4,
Mayza, Tim,L,,92.6,,,,16.1,
Bleier, Richard,L,,80.1,35.7,,,49.5,
Ramirez, Nick,L,,94.6,62.1,98.2,,29.1,
Johnson, Pierce,R,,97.9,,,,,51.7
McCullers Jr., Lance,R,,74.1,27.4,91.7,,43,65.7
Yardley, Eric,R,,99.2,,99.4,,,71.3
Stammen, Craig,R,,93.6,,,,64.3,70.5
Santana, Edgar,R,,82.1,,,,13.8,
Northcraft, Aaron,R,,75.5,,87.9,,42.1,
Lawrence, Justin,R,,84,,,,68.5,
Zeuch, T.J.,R,,88.5,38.1,97.6,,18.9,
Anderson, Ian,R,99.7,,,98.8,,,67.4
Neidert, Nick,R,99.7,,,96.8,,52.3,87.3
Mahle, Tyler,R,99.7,,,,,39.3,
Barnes, Matt,R,99.7,,,,,,70.5
Whitley, Kodi,R,99.6,,,99.3,,40.2,
Kowar, Jackson,R,99.5,,,84.5,,,
Baragar, Caleb,L,99.5,,,,,35.7,
Santiago, Héctor,L,99.5,,,91.5,,40.4,
Williams, Devin,R,99.5,,41,78.6,,,
González, Victor,L,99.4,99.4,,,,17.9,
Richards, Trevor,R,99.4,,,80,,,22.7
Gomber, Austin,L,99.3,,,96.1,,34.1,94.5
Bowden, Ben,L,99.3,,,98.9,,15.9,
Swanson, Erik,R,99.3,,,,,31.7,
Heaney, Andrew,L,99.3,,,99.5,,,42.5
Plesac, Zach,R,99.3,,,98.7,,58.9,61
Robles, Hansel,R,99.3,,,94.3,,42.2,
Smyly, Drew,L,99.2,,72.1,,,,28.8
Stanek, Ryne,R,99.2,,,,,17,
Cabrera, Génesis,L,99.2,95.8,,98.8,,,73.7
Hoffman, Jeff,R,99.2,,,98.7,,26.7,83.1
García, Jarlin,L,99.1,,,98.2,,39.1,
Giolito, Lucas,R,99.1,,,98.2,,30.7,75.9
Harvey, Hunter,R,99.1,,,91.9,,30.2,83.8
Gallegos, Giovanny,R,99.1,,,98.4,,13.2,
Hader, Josh,L,99,,,98.1,,15.3,
Lowther, Zac,L,99,,,99.4,,,85.5
Doolittle, Sean,L,99,,,,,,39.7
Urquidy, José,R,99,,,98,,52.6,83.8
Odorizzi, Jake,R,99,,71.3,,,48,71.5
Weathers, Ryan,L,98.9,99.2,,98.4,,34.2,
Estévez, Carlos,R,98.8,,,95.1,,33.5,
Vesia, Alex,L,98.7,,,99.7,,34.5,
Smith, Caleb,L,98.7,,,99.4,,31.1,53.2
Cobb, Alex,R,98.6,97.6,,,,,63.5
Eickhoff, Jerad,R,98.6,,,84.2,,31,61.8
Lauer, Eric,L,98.6,,65.5,97.5,,41.7,
Diekman, Jake,L,98.5,99,,,,33.6,
Gonzales, Marco,L,98.5,99.4,74.3,98.2,,,80.8
Kazmir, Scott,L,98.5,,,95.4,,,
Evans, Demarcus,R,98.5,,57.1,,,25.6,
Canning, Griffin,R,98.5,,,94.8,,13.9,40
Long, Sammy,L,98.5,,,94.9,,,72.8
Jax, Griffin,R,98.4,,,99.3,,27.9,61.6
Kuhl, Chad,R,98.4,97.3,,94.6,,31.1,72.6
Luzardo, Jesús,L,98.4,97.4,,99.3,,,10.6
Wacha, Michael,R,98.3,,56.4,89.8,,,83.1
Cole, Gerrit,R,98.3,98.3,,98.4,,26.6,73.3
Díaz, Edwin,R,98.3,,,,,29.3,
Goudeau, Ashton,R,98.3,,,98.9,,,87.6
Benjamin, Wes,L,98.2,,25.5,96,,,75.3
Thorpe, Lewis,L,98.2,,,96.9,,51.9,86.8
Anderson, Tyler,L,98.2,97,47,97.9,,,45.8
Paddack, Chris,R,98.2,,,93.2,,,96.6
Sulser, Cole,R,98.1,,,81.2,,43.8,72.8
Irvin, Cole,L,98.1,97.2,,99,,22.5,58.1
Morgan, Eli,R,98.1,,,88.1,,34.6,69
Bergen, Travis,L,98,,,,,,31.7
Walker, Taijuan,R,97.9,96.8,,,,37.5,75.2
Wilson, Justin,L,97.9,,63.2,,,40.1,
Moore, Matt,L,97.9,,73.2,99,,,69.2
Ryu, Hyun Jin,L,97.8,98.4,52.7,99.4,,34.4,84
Stashak, Cody,R,97.8,,,,,28.6,
Shreve, Chasen,L,97.8,,,,,44.2,
McClanahan, Shane,L,97.8,,,99.2,,25.2,51.1
Faria, Jake,R,97.8,,,,,37.8,92.9
Harvey, Matt,R,97.7,97.7,,97.2,,29,55.7
Gausman, Kevin,R,97.7,,,94,,20.4,
Abreu, Albert,R,97.7,98.3,,98.4,,23.4,
Buchter, Ryan,L,97.6,,46.4,,,,57.1
Steckenrider, Drew,R,97.6,,,98,,,47.2
Ríos, Yacksel,R,97.6,96.8,,,,27.4,
Sborz, Josh,R,97.6,,,,,12.6,83.6
Guerra, Deolis,R,97.5,97.9,,93.5,,40.6,98.4
Kennedy, Ian,R,97.5,,34.2,99.6,,,66.8
Pivetta, Nick,R,97.5,,,99.1,,34.9,92.9
Vest, Will,R,97.5,,,99.3,,32.1,
Whitlock, Garrett,R,97.5,97.3,,94.2,,35.4,
Hudson, Daniel,R,97.5,,,97.7,,24.9,
Howard, Sam,L,97.5,,,,,26.6,
Brogdon, Connor,R,97.4,,62.9,99.6,,,
Karinchak, James,R,97.4,,,,,,52.7
Howard, Spencer,R,97.4,,,99.5,,45,98.5
McGee, Jake,L,97.4,,,,,24.4,
Rodón, Carlos,L,97.4,,,98.9,,30.3,64.2
Diaz, Miguel,R,97.3,,,92.6,,40.5,
Ponce de Leon, Daniel,R,97.3,,56.6,97.5,,,67.9
McKenzie, Triston,R,97.3,,,96.9,,44.6,68.7
Littell, Zack,R,97.3,,,,,43.9,
Foster, Matt,R,97.2,,73.6,96,,29.9,
Bieber, Shane,R,97.2,,40.7,98.6,,17.2,83.9
López, Jorge,R,97.2,96.4,,98.2,,21.3,72.2
Eovaldi, Nathan,R,97.2,,67.9,,,40.9,78
Colomé, Alex,R,97.2,,47.4,,,,
Ynoa, Huascar,R,97.1,97,,99.1,,37.6,
Pérez, Martín,L,97.1,97.2,61.8,99.4,,,41.2
Means, John,L,97,,,98.1,,49.6,55.2
Hill, Tim,L,97,95.2,,,,46.1,
Akin, Keegan,L,97,,,94.9,,26.6,39.5
Webb, Jacob,R,97,,,97.5,,,67.8
Sawamura, Hirokazu,R,97,,,,,25.2,
Santillan, Tony,R,96.9,,,96.3,,45.4,
Wisler, Matt,R,96.9,,,,,23.4,
García, Deivi,R,96.9,,,99.2,,39.7,79.1
Rodríguez, Richard,R,96.9,,,,,47.4,
Nelson, Nick,R,96.9,,,99.5,,40.7,82.7
Stephenson, Robert,R,96.8,,,,,32.9,58.7
Milone, Tommy,L,96.7,,,95.4,,26.5,39.6
Gant, John,R,96.7,96.2,34.8,97.4,,24.7,79.8
Patton, Spencer,R,96.7,,,,,23.1,
Mills, Wyatt,R,96.7,90.1,,,,25.2,
Hendriks, Liam,R,96.7,,,,,20.5,70.4
Bednar, David,R,96.7,,,,,,79.4
Jackson, Luke,R,96.6,,,,,42.4,71.6
Megill, Tylor,R,96.5,,,98.1,,26.3,
Duffy, Danny,L,96.4,94,,92.3,,39.6,92.5
Nola, Aaron,R,96.4,95.5,48.3,99.3,,,87.3
Bettinger, Alec,R,96.3,,58.4,,,,83.3
Weaver, Luke,R,96.2,,54.4,84.1,,,
Farmer, Buck,R,96.1,,,86.9,,15.3,
