Tm,RA/G,W,L,W-L%,ERA,G,RAllwd,ER,BB,IBB,SO,HBP
Arizona Diamondbacks,3.98,82,80,.506,3.72,162,644,605,522,43,1448,57
Atlanta Braves,4.06,90,72,.556,3.75,162,657,607,635,43,1423,52
Baltimore Orioles,5.51,47,115,.290,5.18,162,892,824,589,29,1203,67
Boston Red Sox,3.99,108,54,.667,3.75,162,647,608,512,8,1558,84
Chicago Cubs,3.96,95,68,.583,3.65,163,645,598,622,33,1333,66
Chicago White Sox,5.23,62,100,.383,4.83,162,848,771,653,25,1259,89
Cincinnati Reds,5.06,67,95,.414,4.63,162,819,741,532,60,1258,50
Cleveland Indians,4.00,91,71,.562,3.77,162,648,611,407,29,1544,59
Colorado Rockies,4.57,91,72,.558,4.33,163,745,699,525,24,1409,52
Detroit Tigers,4.91,64,98,.395,4.58,162,796,726,491,20,1215,60
Houston Astros,3.30,103,59,.636,3.11,162,534,503,435,4,1687,66
Kansas City Royals,5.14,58,104,.358,4.94,162,833,786,549,28,1157,51
Los Angeles Angels,4.46,80,82,.494,4.15,162,722,662,546,17,1386,65
Los Angeles Dodgers,3.74,92,71,.564,3.38,163,610,554,422,39,1565,61
Miami Marlins,5.02,63,98,.391,4.76,161,809,762,605,73,1249,71
Milwaukee Brewers,4.04,96,67,.589,3.73,163,659,606,553,34,1428,61
Minnesota Twins,4.78,78,84,.481,4.50,162,775,721,573,34,1377,80
New York Mets,4.36,77,85,.475,4.07,162,707,661,484,32,1446,71
New York Yankees,4.13,100,62,.617,3.78,162,669,611,494,9,1634,58
Oakland Athletics,4.16,97,65,.599,3.81,162,674,621,474,19,1237,53
Philadelphia Phillies,4.49,80,82,.494,4.14,162,728,665,500,35,1465,60
Pittsburgh Pirates,4.30,82,79,.509,4.00,161,693,637,497,43,1336,69
San Diego Padres,4.73,66,96,.407,4.40,162,767,713,519,28,1399,68
Seattle Mariners,4.39,89,73,.549,4.13,162,711,664,400,21,1328,72
San Francisco Giants,4.31,73,89,.451,3.95,162,699,641,524,37,1269,45
St. Louis Cardinals,4.27,88,74,.543,3.85,162,691,622,593,49,1337,67
Tampa Bay Rays,3.99,90,72,.556,3.74,162,646,602,501,34,1421,53
Texas Rangers,5.23,67,95,.414,4.92,162,848,783,491,23,1121,72
Toronto Blue Jays,5.14,73,89,.451,4.85,162,832,772,551,19,1298,67
Washington Nationals,4.21,82,80,.506,4.04,162,682,649,487,37,1417,76
