Rk,Gtm,Date,Opp,Rslt,BA,Opp. Starter (GmeSc)
1,1,Mar 28,NYM,L0-2,.161,J.deGrom(71)
2,2,Mar 30,NYM,L8-11,.209,N.Syndergaard(49)
3,3,Mar 31,NYM,W6-5,.243,Z.Wheeler(45)
4,4,Apr 2,PHI,L2-8,.235,Z.Eflin(69)
5,5,Apr 3,PHI,W9-8,.257,A.Nola(25)
6,6,Apr 4,NYM,W4-0,.244,N.Syndergaard(66)
7,7,Apr 6,NYM,L5-6,.240,S.Matz(67)
8,8,Apr 7,NYM,W12-9,.242,Z.Wheeler(23)
9,9,Apr 8,PHI,L3-4,.238,V.Velasquez(53)
10,10,Apr 9,PHI,W10-6,.250,A.Nola(43)
11,11,Apr 10,PHI,W15-1,.266,N.Pivetta(22)
12,12,Apr 12,PIT,L3-6,.260,T.Williams(57)
13,13,Apr 13,PIT,W3-2,.257,C.Archer(72)
14,14,Apr 14,PIT,L3-4,.260,J.Taillon(49)
15,15,Apr 16,SFG,L3-7,.259,D.Rodriguez(56)
16,16,Apr 17,SFG,W9-6,.264,J.Samardzija(46)
17,17,Apr 18,SFG,W4-2,.264,D.Pomeranz(40)
18,18,Apr 19,MIA,L2-3,.260,C.Smith(66)
19,19,Apr 20,MIA,L3-9,.261,J.Urena(49)
20,20,Apr 21,MIA,W5-0,.262,T.Richards(54)
21,21,Apr 22,COL,L5-7,.259,T.Anderson(32)
22,22,Apr 23,COL,W6-3,.260,J.Hoffman(45)
23,23,Apr 24,COL,L5-9,.262,G.Marquez(54)
24,24,Apr 26,SDP,L3-4,.259,M.Strahm(64)
25,25,Apr 27,SDP,L3-8,.255,E.Lauer(60)
26,26,Apr 28,SDP,W7-6,.257,J.Lucchesi(30)
27,27,Apr 29,STL,L3-6,.253,M.Wacha(49)
28,28,Apr 30,STL,L2-3,.251,A.Wainwright(56)
29,29,May 1,STL,L1-5,.251,M.Mikolas(57)
30,30,May 2,STL,W2-1,.249,D.Hudson(63)
31,31,May 3,PHI,L2-4,.247,J.Eickhoff(61)
32,32,May 4,PHI,W10-8,.250,J.Arrieta(58)
33,33,May 5,PHI,L1-7,.248,Z.Eflin(68)
34,34,May 6,MIL,L3-5,.246,J.Chacin(54)
35,35,May 7,MIL,L0-6,.244,A.Houser(55)
36,36,May 8,MIL,L3-7,.243,B.Woodruff(69)
37,37,May 9,LAD,W6-0,.244,R.Hill(48)
38,38,May 10,LAD,L0-5,.241,K.Maeda(74)
39,39,May 11,LAD,W5-2,.240,W.Buehler(75)
40,40,May 12,LAD,L0-6,.236,H.Ryu(88)
41,41,May 14,NYM,L2-6,.235,N.Syndergaard(71)
42,42,May 15,NYM,W5-1,.236,W.Font(25)
43,43,May 16,NYM,W7-6,.238,Z.Wheeler(30)
44,44,May 17,CHC,L6-14,.241,C.Hamels(47)
45,45,May 18,CHC,W5-2,.243,J.Lester(25)
46,46,May 19,CHC,L5-6,.243,K.Hendricks(43)
47,47,May 20,NYM,L3-5,.243,W.Font(47)
48,48,May 21,NYM,L5-6,.243,Z.Wheeler(61)
49,49,May 22,NYM,L1-6,.240,J.deGrom(69)
50,50,May 23,NYM,L4-6,.243,S.Matz(53)
51,51,May 24,MIA,W12-10,.246,P.Lopez(31)
52,52,May 25,MIA,W5-0,.246,S.Alcantara(37)
53,53,May 26,MIA,W9-6,.249,C.Smith(28)
54,54,May 27,MIA,L2-3,.247,J.Urena(64)
55,55,May 28,ATL,W5-4,.249,M.Fried(37)
56,56,May 29,ATL,W14-4,.251,K.Gausman(4)
57,57,May 31,CIN,L3-9,.251,T.Mahle(51)
58,58,Jun 1,CIN,W5-2,.250,T.Roark(49)
59,59,Jun 2,CIN,W4-1,.250,S.Gray(52)
60,60,Jun 4,CHW,W9-5,.251,R.Lopez(28)
61,61,Jun 5,CHW,W6-4,.251,D.Covey(48)
62,62,Jun 6,SDP,L4-5,.249,J.Lucchesi(45)
63,63,Jun 7,SDP,L4-5,.250,N.Margevicius(58)
64,64,Jun 8,SDP,W4-1,.250,E.Lauer(51)
65,65,Jun 9,SDP,W5-2,.249,L.Perdomo(54)
66,66,Jun 10,CHW,W12-1,.252,O.Despaigne(46)
67,67,Jun 11,CHW,L5-7,.252,M.Banuelos(45)
68,68,Jun 13,ARI,L0-5,.250,Z.Greinke(77)
69,69,Jun 14,ARI,W7-3,.251,R.Ray(46)
70,70,Jun 15,ARI,L3-10,.251,T.Clarke(44)
71,71,Jun 16,ARI,W15-5,.253,A.Bradley(28)
